sku	소분	모델	옵션	정가
GU-CO2RR-CuO-CB	CO2RR 촉매	CuO-CB	10×10cm² · 목표물 C2+ 생성물 · 선택도 ≥65% · 담지량 	1558000
GU-CO2RR-CuO-CT	CO2RR 촉매	CuO-CT	10×10cm² · 목표물 C2+ 생성물 · 선택도 ≥65% · 담지량 	1715000
GU-CO2RR-CuO-CBU	CO2RR 촉매	CuO-CBU	10×10cm² · 목표물 C2+ 생성물 · 선택도 ≥65% · 담지량 	1925000
GU-CO2RR-CuO-CTU	CO2RR 촉매	CuO-CTU	10×10cm² · 목표물 C2+ 생성물 · 선택도 ≥65% · 담지량 	2100000
GU-CO2RR-CuO-CBH	CO2RR 촉매	CuO-CBH	10×10cm² · 목표물 C2+ 생성물 · 선택도 ≥65% · 담지량 	1715000
GU-CO2RR-CuO-CTH	CO2RR 촉매	CuO-CTH	10×10cm² · 목표물 C2+ 생성물 · 선택도 ≥65% · 담지량 	1925000
GU-CO2RR-CuO-CBUH	CO2RR 촉매	CuO-CBUH	10×10cm² · 목표물 C2+ 생성물 · 선택도 ≥65% · 담지량 	2100000
GU-CO2RR-CuO-CTUH	CO2RR 촉매	CuO-CTUH	10×10cm² · 목표물 C2+ 생성물 · 선택도 ≥65% · 담지량 	2275000
GU-CO2RR-CuO-CBX	CO2RR 촉매	CuO-CBX	10×10cm² · 목표물 C2+ 생성물 · 선택도 ≥65% · 담지량 	2275000
GU-CO2RR-CuO-CTX	CO2RR 촉매	CuO-CTX	10×10cm² · 목표물 C2+ 생성물 · 선택도 ≥65% · 담지량 	2450000
GU-CO2RR-CuO-CBUX	CO2RR 촉매	CuO-CBUX	10×10cm² · 목표물 C2+ 생성물 · 선택도 ≥65% · 담지량 	2625000
GU-CO2RR-CuO-CTUX	CO2RR 촉매	CuO-CTUX	10×10cm² · 목표물 C2+ 생성물 · 선택도 ≥65% · 담지량 	2800000
GU-CO2RR-IrO2-ACI	CO2RR 촉매	IrO2-ACI	10×10cm² · 티타늄 포일 400μm · 담지량 2 mg/cm² ·	3150000
GU-CO2RR-IrO2-ALK	CO2RR 촉매	IrO2-ALK	10×10cm² · 티타늄 포일 400μm · 담지량 2 mg/cm² ·	3325000
GU-CO2RR-IrOx-ACI	CO2RR 촉매	IrOx-ACI	10×10cm² · 티타늄 포일 400μm · 담지량 2 mg/cm² ·	3500000
GU-CO2RR-IrOx-ALK	CO2RR 촉매	IrOx-ALK	10×10cm² · 티타늄 포일 400μm · 담지량 2 mg/cm² ·	3675000
GU-CO2RR-NiFeIr-ACI	CO2RR 촉매	NiFeIr-ACI	10×10cm² · 티타늄 포일 400μm · 담지량 2 mg/cm² ·	2625000
GU-CO2RR-NiFeIr-ALK	CO2RR 촉매	NiFeIr-ALK	10×10cm² · 티타늄 포일 400μm · 담지량 2 mg/cm² ·	2800000
GU-CO2RR-NiFe-ACI	CO2RR 촉매	NiFe-ACI	10×10cm² · 티타늄 포일 400μm · 담지량 2 mg/cm² ·	2450000
GU-CO2RR-NiFe-ALK	CO2RR 촉매	NiFe-ALK	10×10cm² · 티타늄 포일 400μm · 담지량 2 mg/cm² ·	2625000
GU-CO2RR-IrO2-SSE	CO2RR 촉매	IrO2-SSE	10×10cm² · 티타늄 포일 400μm · 담지량 2 mg/cm² ·	3675000
GU-CO2RR-IrOx-SSE	CO2RR 촉매	IrOx-SSE	10×10cm² · 티타늄 포일 400μm · 담지량 2 mg/cm² ·	3850000
GU-CO2RR-IrO2-CCI	CO2RR 촉매	IrO2-CCI	10×10cm² · 소수성 카본페이퍼 200μm · 담지량 2 mg/cm	2975000
GU-CO2RR-IrO2-CLK	CO2RR 촉매	IrO2-CLK	10×10cm² · 소수성 카본페이퍼 200μm · 담지량 2 mg/cm	3150000
GU-CO2RR-IrOx-CCI	CO2RR 촉매	IrOx-CCI	10×10cm² · 소수성 카본페이퍼 200μm · 담지량 2 mg/cm	3325000
GU-CO2RR-IrOx-CLK	CO2RR 촉매	IrOx-CLK	10×10cm² · 소수성 카본페이퍼 200μm · 담지량 2 mg/cm	3500000
GU-CO2RR	CO2RR 촉매	표준	스티렌-디비닐벤젠 · 술폰산기 · 가교도 8~9% · 함수율 50~65%	875000
GU-BATCEL-B0011	배터리 테스트 셀	B001-1	PEEK 셀 바디 · Ag/AgCl 기준전극 · GC Φ3mm 도전매체 	1635000
GU-BATCEL-B0012	배터리 테스트 셀	B001-2	PEEK 셀 바디 · GC Φ3mm 도전매체 · 상부 주액 스크루(기상 	1460000
GU-BATCEL-B002	배터리 테스트 셀	B002	고순도 티타늄 · PEEK 절연 라이너 · 금도금 구리 탭 · Φ55×2	1645000
GU-BATCEL-B002RM	배터리 테스트 셀	B002-RM	B002 기반 · 라만 관찰창 추가 · 스프링 가압	2800000
GU-BATCEL-B002XRD	배터리 테스트 셀	B002-XRD	Bruker D8 호환 · 베릴륨 창 노출 Φ20mm · Φ49.5×18	3967000
GU-BATCEL-B003	배터리 테스트 셀	B003	고순도 티타늄 · Φ70×24mm · 리튬 와이어 기준전극 · 중간판이 	2275000
GU-BATCEL-B003RM	배터리 테스트 셀	B003-RM	B002-RM 기반 · 기준전극 추가	3413000
GU-BATCEL-B003XRD	배터리 테스트 셀	B003-XRD	Bruker D8 호환 · 리튬 링 기준전극 · 베릴륨 창 Φ20mm ·	4550000
GU-BATCEL-B003RE	배터리 테스트 셀	B003-RE	Φ6mm 표준 기준전극 선택(은이온·염화은·포화칼로멜·산화수은·황산제일수	1925000
GU-BATCEL-BIFA	배터리 테스트 셀	B-IFA	단결정 실리콘(Si) IR 창 · 고순도 티타늄 · 50×50×20mm 	7000000
GU-BATCEL-B0041	배터리 테스트 셀	B004-1	사파이어 광학창 · GC 도전기판 · 작업전극 10×10mm · 자동 수	2800000
GU-BATCEL-B0042	배터리 테스트 셀	B004-2	고순도 티타늄 기판 · 사파이어 창 투과율 95% 이상 · 리튬 포일 1	1750000
GU-BATCEL-B0043	배터리 테스트 셀	B004-3	B004-2 기반 · 기준전극 추가	1750000
GU-BATCEL-B0051	배터리 테스트 셀	B005-1	PEEK 바디 · 티타늄 탭 · 3전극(Ag/AgCl Φ2mm) · 시료	1925000
GU-BATCEL-B0051RE	배터리 테스트 셀	B005-1-RE	Ag/AgCl Φ2mm 기준전극 단품	350000
GU-BATCEL-B0052	배터리 테스트 셀	B005-2	B005-1 기반 · 양극·음극 사이 격막 고정 구조	2275000
GU-BATCEL-B0053	배터리 테스트 셀	B005-3	B005-1 기반 · 리튬 기준전극 구성	2800000
GU-BATCEL-PB002	배터리 테스트 셀	PB002	B002 기반 · 가스 압력계 장착 · 최대 사용압력 0.6 MPa · 	2625000
GU-BATCEL-PB002RM	배터리 테스트 셀	PB002-RM	PB002 기반 · 라만 관찰 기능 추가	3850000
GU-BATCEL-PB003	배터리 테스트 셀	PB003	B003 기반 · 가스 압력계 장착 · 최대 사용압력 0.6 MPa	3150000
GU-BATCEL-PB003RM	배터리 테스트 셀	PB003-RM	PB003 기반 · 라만 관찰 기능 추가	4375000
GU-BATCEL-TB002	배터리 테스트 셀	TB002	B002 기반 · 눈금 1칸당 0.02 mm 전진 가압 · 자동 수평 구	3150000
GU-BATCEL-PB001	배터리 테스트 셀	PB001	고순도 티타늄 몰드 · 자동 수평 기구 · 착탈식 금도금 구리 탭 · 측	700000
GU-BATCEL-PB001PS	배터리 테스트 셀	PB001-PS	다단 증폭·독립 전원 · 감도 전환 · 고속 압력 피드백	962000
GU-BATCEL-ZN1	배터리 테스트 셀	Zn-1	PMMA(아크릴) · 30·50 mL · 가스 순환 기능 · 맞춤 치수 	1540000
GU-BATCEL-ZN2	배터리 테스트 셀	Zn-2	PMMA(아크릴) · 30·50 mL · 가스 순환 기능 · 맞춤 치수 	1540000
GU-BATCEL-BVRB	배터리 테스트 셀	B-VRB	유로 면적 20×20mm · 고순도 흑연 양극판 · PEEK 고정봉 · 	0
GU-GLCELL-C002130MLS	단실 유리 전해셀	C002-1	30 mL · 단층 · 구경 50#	245000
GU-GLCELL-C002130MLD	단실 유리 전해셀	C002-1	30 mL · 이중층(항온 자켓) · 구경 50#	367000
GU-GLCELL-C002150MLS	단실 유리 전해셀	C002-1	50 mL · 단층 · 구경 50#	245000
GU-GLCELL-C002150MLD	단실 유리 전해셀	C002-1	50 mL · 이중층(항온 자켓) · 구경 50#	367000
GU-GLCELL-C0021100MLS	단실 유리 전해셀	C002-1	100 mL · 단층 · 구경 50#	262000
GU-GLCELL-C0021100MLD	단실 유리 전해셀	C002-1	100 mL · 이중층(항온 자켓) · 구경 50#	385000
GU-GLCELL-C0021150MLS	단실 유리 전해셀	C002-1	150 mL · 단층 · 구경 60#	350000
GU-GLCELL-C0021150MLD	단실 유리 전해셀	C002-1	150 mL · 이중층(항온 자켓) · 구경 60#	455000
GU-GLCELL-C0021200MLS	단실 유리 전해셀	C002-1	200 mL · 단층 · 구경 60#	367000
GU-GLCELL-C0021200MLD	단실 유리 전해셀	C002-1	200 mL · 이중층(항온 자켓) · 구경 60#	525000
GU-GLCELL-C0021250MLS	단실 유리 전해셀	C002-1	250 mL · 단층 · 구경 70#	560000
GU-GLCELL-C0021250MLD	단실 유리 전해셀	C002-1	250 mL · 이중층(항온 자켓) · 구경 70#	700000
GU-GLCELL-C0021500MLS	단실 유리 전해셀	C002-1	500 mL · 단층 · 구경 70#	630000
GU-GLCELL-C0021500MLD	단실 유리 전해셀	C002-1	500 mL · 이중층(항온 자켓) · 구경 70#	788000
GU-GLCELL-C00211000MLS	단실 유리 전해셀	C002-1	1000 mL · 단층 · 구경 70#	700000
GU-GLCELL-C00211000MLD	단실 유리 전해셀	C002-1	1000 mL · 이중층(항온 자켓) · 구경 70#	875000
GU-GLCELL-VALVE1S	단실 유리 전해셀	VALVE	밸브 1개당 · -	175000
GU-MBCELL-C007130ML	격막 교환형 전해셀	C007-1	30 mL · 단층	560000
GU-MBCELL-C007130ML-2	격막 교환형 전해셀	C007-1	30 mL · 이중층(항온 자켓)	805000
GU-MBCELL-C007150ML	격막 교환형 전해셀	C007-1	50 mL · 단층	578000
GU-MBCELL-C007150ML-2	격막 교환형 전해셀	C007-1	50 mL · 이중층(항온 자켓)	805000
GU-MBCELL-C0071100ML	격막 교환형 전해셀	C007-1	100 mL · 단층	630000
GU-MBCELL-C0071100ML-2	격막 교환형 전해셀	C007-1	100 mL · 이중층(항온 자켓)	875000
GU-MBCELL-C0071150ML	격막 교환형 전해셀	C007-1	150 mL · 단층	875000
GU-MBCELL-C0071150ML-2	격막 교환형 전해셀	C007-1	150 mL · 이중층(항온 자켓)	1103000
GU-MBCELL-C0071200ML	격막 교환형 전해셀	C007-1	200 mL · 단층	980000
GU-MBCELL-C0071200ML-2	격막 교환형 전해셀	C007-1	200 mL · 이중층(항온 자켓)	1225000
GU-MBCELL-C0071250ML	격막 교환형 전해셀	C007-1	250 mL · 단층	980000
GU-MBCELL-C0071250ML-2	격막 교환형 전해셀	C007-1	250 mL · 이중층(항온 자켓)	1225000
GU-MBCELL-C007230ML	격막 교환형 전해셀	C007-2	30 mL · 단층	700000
GU-MBCELL-C007230ML-2	격막 교환형 전해셀	C007-2	30 mL · 이중층(항온 자켓)	928000
GU-MBCELL-C007250ML	격막 교환형 전해셀	C007-2	50 mL · 단층	700000
GU-MBCELL-C007250ML-2	격막 교환형 전해셀	C007-2	50 mL · 이중층(항온 자켓)	928000
GU-MBCELL-C0072100ML	격막 교환형 전해셀	C007-2	100 mL · 단층	753000
GU-MBCELL-C0072100ML-2	격막 교환형 전해셀	C007-2	100 mL · 이중층(항온 자켓)	980000
GU-MBCELL-C0072150ML	격막 교환형 전해셀	C007-2	150 mL · 단층	980000
GU-MBCELL-C0072150ML-2	격막 교환형 전해셀	C007-2	150 mL · 이중층(항온 자켓)	1225000
GU-MBCELL-C0072200ML	격막 교환형 전해셀	C007-2	200 mL · 단층	1103000
GU-MBCELL-C0072200ML-2	격막 교환형 전해셀	C007-2	200 mL · 이중층(항온 자켓)	1330000
GU-MBCELL-C0072250ML	격막 교환형 전해셀	C007-2	250 mL · 단층	1103000
GU-MBCELL-C0072250ML-2	격막 교환형 전해셀	C007-2	250 mL · 이중층(항온 자켓)	1330000
GU-MBCELL-C007102	격막 교환형 전해셀	C007-10-2	단층 셀 바디	578000
GU-MBCELL-C007102-2	격막 교환형 전해셀	C007-10-2	단층 셀 바디 + 시료채취 포트	630000
GU-MBCELL-C007102-3	격막 교환형 전해셀	C007-10-2	이중층 항온 셀 바디	1050000
GU-MBCELL-C007102-4	격막 교환형 전해셀	C007-10-2	밸브 어셈블리	1400000
GU-MBCELL-C00711	격막 교환형 전해셀	C007-11	셀 본체	980000
GU-MBCELL-C00711AGAGCL	격막 교환형 전해셀	C007-11	전용 Ag/AgCl 기준전극	595000
GU-MBCELL-C007119999	격막 교환형 전해셀	C007-11	백금망 전극 (99.99%)	560000
GU-MBCELL-C00711-2	격막 교환형 전해셀	C007-11	마그네틱 스터러	350000
GU-MBCELL-C0081510ML	격막 교환형 전해셀	C008-1	5~10 mL · 단층	630000
GU-MBCELL-C0081510ML-2	격막 교환형 전해셀	C008-1	5~10 mL · 이중층(항온 자켓)	1103000
GU-MBCELL-C008130ML	격막 교환형 전해셀	C008-1	30 mL · 단층	630000
GU-MBCELL-C008130ML-2	격막 교환형 전해셀	C008-1	30 mL · 이중층(항온 자켓)	928000
GU-MBCELL-C008150ML	격막 교환형 전해셀	C008-1	50 mL · 단층	630000
GU-MBCELL-C008150ML-2	격막 교환형 전해셀	C008-1	50 mL · 이중층(항온 자켓)	928000
GU-MBCELL-C0081100ML	격막 교환형 전해셀	C008-1	100 mL · 단층	700000
GU-MBCELL-C0081100ML-2	격막 교환형 전해셀	C008-1	100 mL · 이중층(항온 자켓)	980000
GU-MBCELL-C0081150ML	격막 교환형 전해셀	C008-1	150 mL · 단층	928000
GU-MBCELL-C0081150ML-2	격막 교환형 전해셀	C008-1	150 mL · 이중층(항온 자켓)	1575000
GU-MBCELL-C0081200ML	격막 교환형 전해셀	C008-1	200 mL · 단층	1050000
GU-MBCELL-C0081200ML-2	격막 교환형 전해셀	C008-1	200 mL · 이중층(항온 자켓)	1330000
GU-MBCELL-C0081250ML	격막 교환형 전해셀	C008-1	250 mL · 단층	1050000
GU-MBCELL-C0081250ML-2	격막 교환형 전해셀	C008-1	250 mL · 이중층(항온 자켓)	1330000
GU-MBCELL-C0082510ML	격막 교환형 전해셀	C008-2	5~10 mL · 단층	753000
GU-MBCELL-C0082510ML-2	격막 교환형 전해셀	C008-2	5~10 mL · 이중층(항온 자켓)	1225000
GU-MBCELL-C008230ML	격막 교환형 전해셀	C008-2	30 mL · 단층	753000
GU-MBCELL-C008230ML-2	격막 교환형 전해셀	C008-2	30 mL · 이중층(항온 자켓)	1050000
GU-MBCELL-C008250ML	격막 교환형 전해셀	C008-2	50 mL · 단층	753000
GU-MBCELL-C008250ML-2	격막 교환형 전해셀	C008-2	50 mL · 이중층(항온 자켓)	1050000
GU-MBCELL-C0082100ML	격막 교환형 전해셀	C008-2	100 mL · 단층	805000
GU-MBCELL-C0082100ML-2	격막 교환형 전해셀	C008-2	100 mL · 이중층(항온 자켓)	1103000
GU-MBCELL-C0082150ML	격막 교환형 전해셀	C008-2	150 mL · 단층	1050000
GU-MBCELL-C0082150ML-2	격막 교환형 전해셀	C008-2	150 mL · 이중층(항온 자켓)	1330000
GU-MBCELL-C0082200ML	격막 교환형 전해셀	C008-2	200 mL · 단층	1155000
GU-MBCELL-C0082200ML-2	격막 교환형 전해셀	C008-2	200 mL · 이중층(항온 자켓)	1453000
GU-MBCELL-C0082250ML	격막 교환형 전해셀	C008-2	250 mL · 단층	1155000
GU-MBCELL-C0082250ML-2	격막 교환형 전해셀	C008-2	250 mL · 이중층(항온 자켓)	1453000
GU-MBCELL-OPTC0071C0072C0081C0082	격막 교환형 전해셀	OPT	C007-1 / C007-2 / C008-1 / C008-2	59000
GU-MBCELL-OPT1	격막 교환형 전해셀	OPT	완전 밀폐형 (밸브 1개당)	175000
GU-MBCELL-OPTC0071021	격막 교환형 전해셀	OPT	C007-10-2 (커넥터 1개당)	88000
GU-QZCELL-C01331212MM	부식 시험·석영 전해셀	C013-3	12×12 mm	2625000
GU-QZCELL-C015150ML403580MM	부식 시험·석영 전해셀	C015-1	50 mL · 외경 40 · 내경 35 · 높이 80 mm	753000
GU-QZCELL-C015220ML423826MM	부식 시험·석영 전해셀	C015-2	20 mL · 외경 42 · 내경 38 · 높이 26 mm	2275000
GU-QZCELL-C017150ML555052MM35	부식 시험·석영 전해셀	C017-1	50 mL · 외경 55 · 내경 50 · 높이 52 mm (유효 35)	2800000
GU-QZCELL-C017250ML555052MM35	부식 시험·석영 전해셀	C017-2	50 mL · 외경 55 · 내경 50 · 높이 52 mm (유효 35)	0
GU-QZCELL-C018150ML	부식 시험·석영 전해셀	C018-1	50 mL	1278000
GU-QZCELL-C0181100ML	부식 시험·석영 전해셀	C018-1	100 mL	1453000
GU-QZCELL-C0181150ML	부식 시험·석영 전해셀	C018-1	150 mL	0
GU-QZCELL-C0181200ML	부식 시험·석영 전해셀	C018-1	200 mL	1925000
GU-QZCELL-C0181250ML	부식 시험·석영 전해셀	C018-1	250 mL	2100000
GU-QZCELL-C0181500ML	부식 시험·석영 전해셀	C018-1	500 mL	2450000
GU-QZCELL-C018250ML	부식 시험·석영 전해셀	C018-2	50 mL	1400000
GU-QZCELL-C0182100ML	부식 시험·석영 전해셀	C018-2	100 mL	1575000
GU-QZCELL-C0182150ML	부식 시험·석영 전해셀	C018-2	150 mL	1750000
GU-QZCELL-C0182200ML	부식 시험·석영 전해셀	C018-2	200 mL	2100000
GU-QZCELL-C0182250ML	부식 시험·석영 전해셀	C018-2	250 mL	2275000
GU-QZCELL-C0182500ML	부식 시험·석영 전해셀	C018-2	500 mL	2555000
GU-QZCELL-OPT1	부식 시험·석영 전해셀	OPT	포트 1개	59000
GU-QZCELL-OPT1-2	부식 시험·석영 전해셀	OPT	밸브 1개	175000
GU-PHCELL-C019150ML	광전기화학·광촉매 셀	C019-1	50 mL · 단층	525000
GU-PHCELL-C019150ML-2	광전기화학·광촉매 셀	C019-1	50 mL · 이중층(항온 자켓)	630000
GU-PHCELL-C0191100ML	광전기화학·광촉매 셀	C019-1	100 mL · 단층	525000
GU-PHCELL-C0191100ML-2	광전기화학·광촉매 셀	C019-1	100 mL · 이중층(항온 자켓)	630000
GU-PHCELL-C0191150ML	광전기화학·광촉매 셀	C019-1	150 mL · 단층	578000
GU-PHCELL-C0191150ML-2	광전기화학·광촉매 셀	C019-1	150 mL · 이중층(항온 자켓)	700000
GU-PHCELL-C019250ML	광전기화학·광촉매 셀	C019-2	50 mL · 단층	578000
GU-PHCELL-C019250ML-2	광전기화학·광촉매 셀	C019-2	50 mL · 이중층(항온 자켓)	700000
GU-PHCELL-C0192100ML	광전기화학·광촉매 셀	C019-2	100 mL · 단층	578000
GU-PHCELL-C0192100ML-2	광전기화학·광촉매 셀	C019-2	100 mL · 이중층(항온 자켓)	700000
GU-PHCELL-C0192150ML	광전기화학·광촉매 셀	C019-2	150 mL · 단층	630000
GU-PHCELL-C0192150ML-2	광전기화학·광촉매 셀	C019-2	150 mL · 이중층(항온 자켓)	753000
GU-PHCELL-C023130ML	광전기화학·광촉매 셀	C023-1	30 mL · 단층	805000
GU-PHCELL-C023130ML-2	광전기화학·광촉매 셀	C023-1	30 mL · 이중층(항온 자켓)	1050000
GU-PHCELL-C023150ML	광전기화학·광촉매 셀	C023-1	50 mL · 단층	805000
GU-PHCELL-C023150ML-2	광전기화학·광촉매 셀	C023-1	50 mL · 이중층(항온 자켓)	1050000
GU-PHCELL-C0231100ML	광전기화학·광촉매 셀	C023-1	100 mL · 단층	700000
GU-PHCELL-C0231100ML-2	광전기화학·광촉매 셀	C023-1	100 mL · 이중층(항온 자켓)	1103000
GU-PHCELL-C0231150ML	광전기화학·광촉매 셀	C023-1	150 mL · 단층	1103000
GU-PHCELL-C0231150ML-2	광전기화학·광촉매 셀	C023-1	150 mL · 이중층(항온 자켓)	1330000
GU-PHCELL-C0231200ML	광전기화학·광촉매 셀	C023-1	200 mL · 단층	1225000
GU-PHCELL-C0231200ML-2	광전기화학·광촉매 셀	C023-1	200 mL · 이중층(항온 자켓)	1453000
GU-PHCELL-C0231250ML	광전기화학·광촉매 셀	C023-1	250 mL · 단층	1225000
GU-PHCELL-C0231250ML-2	광전기화학·광촉매 셀	C023-1	250 mL · 이중층(항온 자켓)	1453000
GU-PHCELL-C023230ML	광전기화학·광촉매 셀	C023-2	30 mL · 단층	928000
GU-PHCELL-C023230ML-2	광전기화학·광촉매 셀	C023-2	30 mL · 이중층(항온 자켓)	1155000
GU-PHCELL-C023250ML	광전기화학·광촉매 셀	C023-2	50 mL · 단층	928000
GU-PHCELL-C023250ML-2	광전기화학·광촉매 셀	C023-2	50 mL · 이중층(항온 자켓)	1155000
GU-PHCELL-C0232100ML	광전기화학·광촉매 셀	C023-2	100 mL · 단층	980000
GU-PHCELL-C0232100ML-2	광전기화학·광촉매 셀	C023-2	100 mL · 이중층(항온 자켓)	1225000
GU-PHCELL-C0232150ML	광전기화학·광촉매 셀	C023-2	150 mL · 단층	1225000
GU-PHCELL-C0232150ML-2	광전기화학·광촉매 셀	C023-2	150 mL · 이중층(항온 자켓)	1453000
GU-PHCELL-C0232200ML	광전기화학·광촉매 셀	C023-2	200 mL · 단층	1330000
GU-PHCELL-C0232200ML-2	광전기화학·광촉매 셀	C023-2	200 mL · 이중층(항온 자켓)	1575000
GU-PHCELL-C0232250ML	광전기화학·광촉매 셀	C023-2	250 mL · 단층	1330000
GU-PHCELL-C0232250ML-2	광전기화학·광촉매 셀	C023-2	250 mL · 이중층(항온 자켓)	1575000
GU-PHCELL-C024130ML	광전기화학·광촉매 셀	C024-1	30 mL · 단층	3150000
GU-PHCELL-C024130ML-2	광전기화학·광촉매 셀	C024-1	30 mL · 이중층(항온 자켓)	3850000
GU-PHCELL-C024150ML	광전기화학·광촉매 셀	C024-1	50 mL · 단층	3150000
GU-PHCELL-C024150ML-2	광전기화학·광촉매 셀	C024-1	50 mL · 이중층(항온 자켓)	3850000
GU-PHCELL-C0241100ML	광전기화학·광촉매 셀	C024-1	100 mL · 단층	3325000
GU-PHCELL-C0241100ML-2	광전기화학·광촉매 셀	C024-1	100 mL · 이중층(항온 자켓)	4025000
GU-PHCELL-C0241150ML	광전기화학·광촉매 셀	C024-1	150 mL · 단층	4025000
GU-PHCELL-C0241150ML-2	광전기화학·광촉매 셀	C024-1	150 mL · 이중층(항온 자켓)	4725000
GU-PHCELL-C0241200ML	광전기화학·광촉매 셀	C024-1	200 mL · 단층	4375000
GU-PHCELL-C0241200ML-2	광전기화학·광촉매 셀	C024-1	200 mL · 이중층(항온 자켓)	5075000
GU-PHCELL-C0241250ML	광전기화학·광촉매 셀	C024-1	250 mL · 단층	4375000
GU-PHCELL-C0241250ML-2	광전기화학·광촉매 셀	C024-1	250 mL · 이중층(항온 자켓)	5075000
GU-PHCELL-C024230ML	광전기화학·광촉매 셀	C024-2	30 mL · 단층	3500000
GU-PHCELL-C024230ML-2	광전기화학·광촉매 셀	C024-2	30 mL · 이중층(항온 자켓)	4200000
GU-PHCELL-C024250ML	광전기화학·광촉매 셀	C024-2	50 mL · 단층	3500000
GU-PHCELL-C024250ML-2	광전기화학·광촉매 셀	C024-2	50 mL · 이중층(항온 자켓)	4200000
GU-PHCELL-C0242100ML	광전기화학·광촉매 셀	C024-2	100 mL · 단층	3675000
GU-PHCELL-C0242100ML-2	광전기화학·광촉매 셀	C024-2	100 mL · 이중층(항온 자켓)	4375000
GU-PHCELL-C0242150ML	광전기화학·광촉매 셀	C024-2	150 mL · 단층	4375000
GU-PHCELL-C0242150ML-2	광전기화학·광촉매 셀	C024-2	150 mL · 이중층(항온 자켓)	5075000
GU-PHCELL-C0242200ML	광전기화학·광촉매 셀	C024-2	200 mL · 단층	4725000
GU-PHCELL-C0242200ML-2	광전기화학·광촉매 셀	C024-2	200 mL · 이중층(항온 자켓)	5425000
GU-PHCELL-C0242250ML	광전기화학·광촉매 셀	C024-2	250 mL · 단층	4725000
GU-PHCELL-C0242250ML-2	광전기화학·광촉매 셀	C024-2	250 mL · 이중층(항온 자켓)	5425000
GU-PHCELL-C025130ML	광전기화학·광촉매 셀	C025-1	30 mL · 단층	875000
GU-PHCELL-C025130ML-2	광전기화학·광촉매 셀	C025-1	30 mL · 이중층(항온 자켓)	1155000
GU-PHCELL-C025150ML	광전기화학·광촉매 셀	C025-1	50 mL · 단층	875000
GU-PHCELL-C025150ML-2	광전기화학·광촉매 셀	C025-1	50 mL · 이중층(항온 자켓)	1155000
GU-PHCELL-C0251100ML	광전기화학·광촉매 셀	C025-1	100 mL · 단층	928000
GU-PHCELL-C0251100ML-2	광전기화학·광촉매 셀	C025-1	100 mL · 이중층(항온 자켓)	1225000
GU-PHCELL-C0251150ML	광전기화학·광촉매 셀	C025-1	150 mL · 단층	1155000
GU-PHCELL-C0251150ML-2	광전기화학·광촉매 셀	C025-1	150 mL · 이중층(항온 자켓)	1453000
GU-PHCELL-C0251200ML	광전기화학·광촉매 셀	C025-1	200 mL · 단층	1278000
GU-PHCELL-C0251200ML-2	광전기화학·광촉매 셀	C025-1	200 mL · 이중층(항온 자켓)	1575000
GU-PHCELL-C0251250ML	광전기화학·광촉매 셀	C025-1	250 mL · 단층	1278000
GU-PHCELL-C0251250ML-2	광전기화학·광촉매 셀	C025-1	250 mL · 이중층(항온 자켓)	1575000
GU-PHCELL-C025230ML	광전기화학·광촉매 셀	C025-2	30 mL · 단층	980000
GU-PHCELL-C025230ML-2	광전기화학·광촉매 셀	C025-2	30 mL · 이중층(항온 자켓)	1278000
GU-PHCELL-C025250ML	광전기화학·광촉매 셀	C025-2	50 mL · 단층	980000
GU-PHCELL-C025250ML-2	광전기화학·광촉매 셀	C025-2	50 mL · 이중층(항온 자켓)	1278000
GU-PHCELL-C0252100ML	광전기화학·광촉매 셀	C025-2	100 mL · 단층	1050000
GU-PHCELL-C0252100ML-2	광전기화학·광촉매 셀	C025-2	100 mL · 이중층(항온 자켓)	1330000
GU-PHCELL-C0252150ML	광전기화학·광촉매 셀	C025-2	150 mL · 단층	1278000
GU-PHCELL-C0252150ML-2	광전기화학·광촉매 셀	C025-2	150 mL · 이중층(항온 자켓)	1575000
GU-PHCELL-C0252200ML	광전기화학·광촉매 셀	C025-2	200 mL · 단층	1400000
GU-PHCELL-C0252200ML-2	광전기화학·광촉매 셀	C025-2	200 mL · 이중층(항온 자켓)	1680000
GU-PHCELL-C0252250ML	광전기화학·광촉매 셀	C025-2	250 mL · 단층	1400000
GU-PHCELL-C0252250ML-2	광전기화학·광촉매 셀	C025-2	250 mL · 이중층(항온 자켓)	1680000
GU-PHCELL-C026150ML	광전기화학·광촉매 셀	C026-1	50 mL	595000
GU-PHCELL-C0261100ML	광전기화학·광촉매 셀	C026-1	100 mL	595000
GU-PHCELL-C0261150ML	광전기화학·광촉매 셀	C026-1	150 mL	770000
GU-PHCELL-C0261200ML	광전기화학·광촉매 셀	C026-1	200 mL	1050000
GU-PHCELL-C0261250ML	광전기화학·광촉매 셀	C026-1	250 mL	1522000
GU-PHCELL-C0261500ML	광전기화학·광촉매 셀	C026-1	500 mL	2100000
GU-PHCELL-C026350ML	광전기화학·광촉매 셀	C026-3	50 mL	735000
GU-PHCELL-C0263100ML	광전기화학·광촉매 셀	C026-3	100 mL	735000
GU-PHCELL-C0263150ML	광전기화학·광촉매 셀	C026-3	150 mL	910000
GU-PHCELL-C0263200ML	광전기화학·광촉매 셀	C026-3	200 mL	1225000
GU-PHCELL-C0263250ML	광전기화학·광촉매 셀	C026-3	250 mL	1662000
